  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020      42       0  hru0042        0.000       0.000     -19.256     -17.101          219.100            0.000            0.000            0.691            6.871           -5.394            1.176            0.166            0.015           38.992            9.818          200.783           21.504            0.000            0.000
   366    12    31  2020      43       0  hru0043        0.000       0.000     -12.947     -11.067          134.845           14.109            0.000            1.149           13.321           -7.465            2.284            5.805            1.161           38.992            9.818          185.510           30.242            0.000            0.000
   366    12    31  2020      44       0  hru0044        0.000       0.000      -2.148      -6.236          172.980           57.057            0.000            1.470           17.611           12.473            3.217            6.430            1.996           38.949            9.806          159.979           30.630            0.000            0.000
   366    12    31  2020      45       0  hru0045        0.000       0.000      22.227      13.215          262.919           87.640            0.000           35.044           23.415           13.471            4.615            0.223            0.044           38.159            9.590           90.476           19.891            0.000            0.000
   366    12    31  2020      46       0  hru0046        0.000       0.000      11.614       2.639          169.214           68.759            0.000            1.320           18.348           15.448            3.384            5.027            1.297           38.468            9.674          142.153           21.324            0.000            0.000
   366    12    31  2020      47       0  hru0047        0.000       0.000      -6.301      -8.294          131.460           43.820            0.000            0.974           17.860            5.953            3.317           16.968            2.396           38.468            9.674          136.056           27.814            0.000            0.000
   366    12    31  2020      48       0  hru0048        0.000       0.000      10.368      -1.977          169.214           68.759            0.000            2.074           21.008           13.519            3.838            2.753            1.052           38.659            9.727          149.963           22.926            0.000            0.000
   366    12    31  2020      49       0  hru0049        0.000       0.000      -2.129     -30.676          184.289           58.302            0.000            0.571           20.270            1.790            3.666            4.657            2.136           38.430            9.664          143.679           27.256            0.000            0.000
   366    12    31  2020      50       0  hru0050        0.000       0.000     -25.265     -61.832          184.289           58.302            0.000            1.786           15.073           13.292            2.894            6.493            2.123           38.525            9.690          147.051           25.646            0.000            0.000
   366    12    31  2020      51       0  hru0051        0.000       0.000     -22.313     -59.379          171.292           55.273            0.000            0.814           14.296           13.752            2.786            3.055            1.678           38.525            9.690          156.469           26.013            0.000            0.000
   366    12    31  2020      52       0  hru0052        0.000       0.000     -10.991     -40.067          171.292           55.273            0.000            0.031           11.793           16.174            2.300            2.929            1.811           38.559            9.699          161.412           27.861            0.000            0.000
   366    12    31  2020      53       0  hru0053        0.000       0.000       0.763     -21.364          109.941           22.016            0.000           20.267           19.703          -13.273            3.375            2.701            0.286           38.543            9.695           51.196            6.599            0.000            0.000
   366    12    31  2020      54       0  hru0054        0.000       0.000     -41.219     -46.895          103.971           14.421            0.000            0.690           12.531           -5.463            2.170            4.829            1.763           38.542            9.695          160.502           36.044            0.000            0.000
   366    12    31  2020      55       0  hru0055        0.000       0.000     -15.476     -43.163          112.707           23.065            0.000            0.084           19.034           -8.371            3.266            8.788            2.066           38.751            9.752          170.852           28.663            0.000            0.000
   366    12    31  2020      56       0  hru0056        0.000       0.000     -16.491     -43.464          115.472           20.210            0.000            0.036           19.264           -7.326            3.306            7.468            2.012           38.751            9.752          179.147           27.071            0.000            0.000
   366    12    31  2020      57       0  hru0057        0.000       0.000     -21.406     -44.543           73.033            0.000            0.000            0.448           19.726          -10.184            3.355           41.998            3.529           38.751            9.752          132.687           15.882            0.000            0.000
   366    12    31  2020      58       0  hru0058        0.000       0.000     -27.586     -48.010          131.372           11.181            0.000            0.023           18.721           -9.530            3.210            5.170            1.508           38.751            9.752          190.839           32.274            0.000            0.000
   366    12    31  2020      59       0  hru0059        0.000       0.000     -12.600     -41.974          106.043           22.408            0.000            0.153           19.428           -9.005            3.326            7.342            1.391           38.751            9.752          165.390           23.270            0.000            0.000
   366    12    31  2020      60       0  hru0060        0.000       0.000     -16.955     -43.545          106.978           22.567            0.000            0.042           19.082           -8.336            3.277            7.886            2.086           38.751            9.752          169.471           30.186            0.000            0.000
   366    12    31  2020      61       0  hru0061        0.000       0.000     -24.707     -48.225          136.875           18.690            0.000            0.001           18.470           -7.610            3.180            6.295            2.444           38.751            9.752          198.676           36.789            0.000            0.000
   366    12    31  2020      62       0  hru0062        0.000       0.000     -15.556     -42.182            0.000            0.000            0.000            0.000           33.711          -22.479            5.759           34.477            4.296           38.751            9.752           66.967            8.336            0.000            0.000
   366    12    31  2020      63       0  hru0063        0.000       0.000     -18.352     -44.459          110.298           19.387            0.000            0.078           18.752           -9.613            3.211            5.963            1.443           38.751            9.752          174.163           27.772            0.000            0.000
   366    12    31  2020      64       0  hru0064        0.000       0.000     -16.971     -32.329            0.000            0.000            0.000            2.884           15.680           -3.737            2.645           41.835            5.350           38.751            9.752           81.839           10.468            0.000            0.000
   366    12    31  2020      65       0  hru0065        0.000       0.000     -11.576     -43.829          102.343           26.790            0.000            0.041           18.851           -8.974            3.225            4.974            1.200           38.751            9.752          165.017           24.780            0.000            0.000
   366    12    31  2020      66       0  hru0066        0.000       0.000     -18.047     -33.410          115.472           20.210            0.000            0.926           15.076           -4.543            2.597            5.466            2.413           38.751            9.752          175.916           30.856            0.000            0.000
   366    12    31  2020      67       0  hru0067        0.000       0.000     -16.737     -43.200          115.472           20.376            0.000            0.033           19.452           -7.418            3.330            9.366            2.282           38.880            9.787          178.978           28.008            0.000            0.000
   366    12    31  2020      68       0  hru0068        0.000       0.000     -40.449     -51.490          182.583            0.000            0.000            0.200           19.327          -13.012            3.295           14.064            1.069           38.751            9.752          214.766           38.407            0.000            0.000
   366    12    31  2020      69       0  hru0069        0.000       0.000      -4.675     -24.595          179.154           65.979            0.000            0.165           29.799            5.573            5.256            3.299            1.347           38.203            9.602          165.859           27.232            0.000            0.000
   366    12    31  2020      70       0  hru0070        0.000       0.000      -6.612     -36.544          180.587           49.546            0.000            0.154           24.439            4.274            4.368            5.352            1.776           38.611            9.713          119.846           21.051            0.000            0.000
   366    12    31  2020      71       0  hru0071        0.000       0.000     -22.383     -51.752          115.472           20.376            0.000            0.199           10.992           -2.064            1.905            6.837            2.550           38.678            9.732          166.090           29.369            0.000            0.000
   366    12    31  2020      72       0  hru0072        0.000       0.000     -28.203     -52.632          121.948           11.831            0.000            0.153           18.365          -10.599            3.147            5.892            1.458           37.712            9.467          174.783           31.579            0.000            0.000
   366    12    31  2020      73       0  hru0073        0.000       0.000     -30.973     -54.533          121.948           11.831            0.000            0.092           18.196          -10.305            3.122            4.870            1.473           37.712            9.467          178.713           34.288            0.000            0.000
   366    12    31  2020      74       0  hru0074        0.000       0.000       3.255     -23.419          121.202           20.542            0.000           17.615           20.642          -15.658            3.528            0.650            0.074           37.712            9.467            4.722            0.567            0.000            0.000
