  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020      43       0  hru0043        0.000       0.000     -13.107     -11.154          134.845           14.109            0.000            0.506            8.596           -3.863            1.477            5.574            1.145           38.992            9.818          182.311           29.883            0.000            0.000
   366    12    31  2020      44       0  hru0044        0.000       0.000       0.034      -2.790          172.980           57.057            0.000            0.636           12.680           16.199            2.393            6.135            1.983           38.949            9.806          156.981           30.413            0.000            0.000
   366    12    31  2020      45       0  hru0045        0.000       0.000      21.419      12.601          262.919           87.640            0.000           20.393           17.880           17.795            3.716            0.223            0.044           38.159            9.590           90.727           20.035            0.000            0.000
   366    12    31  2020      46       0  hru0046        0.000       0.000      13.656       6.314          169.214           68.759            0.000            0.571           13.563           19.087            2.589            4.749            1.277           38.468            9.674          139.243           21.076            0.000            0.000
   366    12    31  2020      47       0  hru0047        0.000       0.000      -3.448      -4.526          131.460           43.820            0.000            0.413           12.607            9.967            2.441           16.127            2.294           38.468            9.674          132.385           27.266            0.000            0.000
   366    12    31  2020      48       0  hru0048        0.000       0.000      11.876       2.485          169.214           68.759            0.000            0.884           15.294           17.818            2.880            2.518            1.039           38.659            9.727          146.094           22.650            0.000            0.000
   366    12    31  2020      49       0  hru0049        0.000       0.000       2.753      -6.216          184.289           58.302            0.000            0.223           12.996            2.933            2.350            3.160            1.963           38.430            9.664          142.839           28.024            0.000            0.000
   366    12    31  2020      50       0  hru0050        0.000       0.000       2.199      -6.661          184.289           58.302            0.000            0.511           10.564           15.342            2.135            5.112            1.955           38.525            9.690          151.116           27.057            0.000            0.000
   366    12    31  2020      51       0  hru0051        0.000       0.000       0.876      -6.048          171.292           55.273            0.000            0.221           10.267           16.536            2.087            2.491            1.447           38.525            9.690          154.840           26.170            0.000            0.000
   366    12    31  2020      52       0  hru0052        0.000       0.000       1.972      -4.183          171.292           55.273            0.000            0.011            9.069           17.443            1.856            2.914            1.522           38.559            9.699          156.996           26.102            0.000            0.000
   366    12    31  2020      53       0  hru0053        0.000       0.000      12.212       2.550          109.941           22.016            0.000            9.891           12.870           -8.163            2.208            2.704            0.286           38.543            9.695           51.085            6.594            0.000            0.000
   366    12    31  2020      54       0  hru0054        0.000       0.000     -15.222     -11.243          103.971           14.421            0.000            0.332            8.395           -2.354            1.462            4.875            1.692           38.542            9.695          157.274           34.218            0.000            0.000
   366    12    31  2020      55       0  hru0055        0.000       0.000      -4.228      -9.751          113.942           23.065            0.000            0.097           12.763           -4.411            2.196            6.631            1.617           38.751            9.752          164.709           28.315            0.000            0.000
   366    12    31  2020      56       0  hru0056        0.000       0.000      -5.571     -10.362          115.472           20.210            0.000            0.034           12.953           -3.270            2.231            5.547            1.763           38.751            9.752          171.669           27.222            0.000            0.000
   366    12    31  2020      57       0  hru0057        0.000       0.000     -10.391     -12.899           73.033            0.000            0.000            0.377           13.386           -5.595            2.270           41.539            3.590           38.751            9.752          129.568           14.903            0.000            0.000
   366    12    31  2020      58       0  hru0058        0.000       0.000     -14.642     -15.050          131.372           12.289            0.000            0.010           12.339           -5.397            2.121            3.415            1.175           38.751            9.752          181.683           30.347            0.000            0.000
   366    12    31  2020      59       0  hru0059        0.000       0.000      -1.455      -8.430          106.043           22.408            0.000            0.102           13.006           -4.666            2.233            5.354            1.080           38.751            9.752          159.298           23.645            0.000            0.000
   366    12    31  2020      60       0  hru0060        0.000       0.000      -5.914     -10.807          106.978           22.567            0.000            0.045           12.726           -4.125            2.192            6.135            1.775           38.751            9.752          162.539           30.014            0.000            0.000
   366    12    31  2020      61       0  hru0061        0.000       0.000     -13.846     -15.018          136.875           18.690            0.000            0.001           12.270           -3.497            2.124            5.197            2.314           38.751            9.752          192.200           36.738            0.000            0.000
   366    12    31  2020      62       0  hru0062        0.000       0.000      -3.033      -9.991            0.000            0.000            0.000            0.000           22.394          -14.710            3.824           31.769            4.034           38.751            9.752           61.706            7.830            0.000            0.000
   366    12    31  2020      63       0  hru0063        0.000       0.000      -6.719     -10.684          110.298           19.387            0.000            0.074           12.652           -5.463            2.170            4.813            1.218           38.751            9.752          168.023           27.302            0.000            0.000
   366    12    31  2020      64       0  hru0064        0.000       0.000      -5.058      -7.044            0.000            0.000            0.000            1.351           11.042           -0.713            1.852           40.181            5.149           38.751            9.752           78.701           10.086            0.000            0.000
   366    12    31  2020      65       0  hru0065        0.000       0.000      -1.424      -7.525          104.813           23.762            0.000            0.045           12.495           -4.707            2.142            3.321            0.956           38.751            9.752          160.481           25.202            0.000            0.000
   366    12    31  2020      66       0  hru0066        0.000       0.000      -7.950      -9.173          115.472           20.210            0.000            0.353           10.511           -1.488            1.823            3.787            1.896           38.751            9.752          171.486           30.703            0.000            0.000
   366    12    31  2020      67       0  hru0067        0.000       0.000      -5.881     -10.335          115.472           20.376            0.000            0.032           13.087           -3.577            2.249            5.990            1.741           38.880            9.787          170.417           27.920            0.000            0.000
   366    12    31  2020      68       0  hru0068        0.000       0.000     -25.398     -21.194          182.583            0.000            0.000            0.182           12.852           -8.232            2.189           13.763            1.123           38.751            9.752          215.002           31.055            0.000            0.000
   366    12    31  2020      69       0  hru0069        0.000       0.000       8.445       1.511          179.154           65.979            0.000            0.085           22.002           11.557            3.934            3.163            1.330           38.203            9.602          160.438           26.803            0.000            0.000
   366    12    31  2020      70       0  hru0070        0.000       0.000       3.112      -3.035          180.587           49.546            0.000            0.133           15.272           10.261            2.810            5.316            1.936           38.611            9.713          130.406           23.610            0.000            0.000
   366    12    31  2020      71       0  hru0071        0.000       0.000      -7.573     -12.112          115.472           20.376            0.000            0.043            7.032            0.710            1.233            6.630            2.467           38.678            9.732          165.162           29.301            0.000            0.000
   366    12    31  2020      72       0  hru0072        0.000       0.000     -15.662     -16.273          121.948           11.831            0.000            0.118           12.085           -6.190            2.078            3.727            1.112           37.712            9.467          170.026           30.900            0.000            0.000
   366    12    31  2020      73       0  hru0073        0.000       0.000     -15.445     -16.148          121.948           11.831            0.000            0.070           12.073           -6.003            2.077            3.953            1.089           37.712            9.467          172.058           30.297            0.000            0.000
   366    12    31  2020      74       0  hru0074        0.000       0.000      15.308       0.603          121.202           20.542            0.000            9.126           13.255           -9.733            2.265            0.591            0.070           37.712            9.467            4.793            0.572            0.000            0.000
   366    12    31  2020      75       0  hru0075        0.000       0.000      -1.110      -8.235          121.202           20.542            0.000            0.328           12.725           -4.687            2.175            8.499            1.572           37.712            9.467          154.097           22.585            0.000            0.000
   366    12    31  2020      76       0  hru0076        0.000       0.000      -5.786      -8.655          121.202           20.542            0.000            0.584           11.462           -2.333            1.975            6.898            2.226           37.712            9.467          169.805           29.045            0.000            0.000
   366    12    31  2020      77       0  hru0077        0.000       0.000      -4.779      -9.618          121.202           20.542            0.000            0.130           12.816           -3.443            2.198            7.745            1.837           37.712            9.467          172.207           26.982            0.000            0.000
   366    12    31  2020      78       0  hru0078        0.000       0.000      -3.437      -8.391          115.472           20.210            0.000            0.176           13.580           -3.627            2.319           12.075            2.043           38.751            9.752          174.138           25.256            0.000            0.000
   366    12    31  2020      79       0  hru0079        0.000       0.000       1.224      -4.753          115.472           20.210            0.000            3.897           11.207           -4.404            1.926            4.744            1.368           38.714            9.742          105.117           17.699            0.000            0.000
   366    12    31  2020      80       0  hru0080        0.000       0.000     -17.406     -14.968          158.278           14.129            0.000            0.575            9.645           -3.708            1.670            3.830            1.385           38.714            9.742          199.236           35.508            0.000            0.000
   366    12    31  2020      81       0  hru0081        0.000       0.000      -7.899      -9.097          115.472           20.210            0.000            0.484           10.560           -2.024            1.833            4.614            2.237           38.714            9.742          165.391           30.931            0.000            0.000
   366    12    31  2020      82       0  hru0082        0.000       0.000      -6.344     -10.837          115.472           20.210            0.000            0.000           12.677           -3.581            2.192            3.585            1.636           38.559            9.699          158.954           27.529            0.000            0.000
   366    12    31  2020      83       0  hru0083        0.000       0.000      -6.840     -11.045          115.472           20.210            0.000            0.000           12.691           -3.478            2.196            4.337            1.756           38.559            9.699          160.312           28.316            0.000            0.000
   366    12    31  2020      84       0  hru0084        0.000       0.000      -1.378      -7.951          115.472           20.210            0.000            0.259           13.170           -3.860            2.256            9.914            1.389           37.712            9.467          170.973           21.598            0.000            0.000
   366    12    31  2020      85       0  hru0085        0.000       0.000       3.582      -5.747           86.466           14.859            0.000            0.000           22.330          -15.536            3.830            1.556            0.339           37.712            9.467           65.988           11.249            0.000            0.000
   366    12    31  2020      86       0  hru0086        0.000       0.000     -10.386      -8.363           86.466           14.859            0.000            0.556            9.894           -4.215            1.716            2.152            0.926           38.559            9.699          136.220           28.403            0.000            0.000
   366    12    31  2020      87       0  hru0087        0.000       0.000     -10.471     -10.320           86.466           14.859            0.000            0.000           21.414          -12.653            3.685            1.649            1.059           37.712            9.467          147.158           29.913            0.000            0.000
   366    12    31  2020      88       0  hru0088        0.000       0.000      -5.860      -7.854          109.941           22.016            0.000            0.405           10.080           -3.062            1.749            4.601            1.976           38.421            9.661          164.271           30.117            0.000            0.000
   366    12    31  2020      89       0  hru0089        0.000       0.000      -5.198      -7.554          109.941           22.016            0.000            0.530           10.267           -3.364            1.777            4.834            1.839           38.456            9.671          162.187           28.983            0.000            0.000
   366    12    31  2020      90       0  hru0090        0.000       0.000      -5.835      -7.936          109.941           22.016            0.000            0.411           10.076           -3.062            1.748            5.112            1.988           38.421            9.661          164.940           30.077            0.000            0.000
   366    12    31  2020      91       0  hru0091        0.000       0.000       9.635      -4.749          109.941           22.016            0.000            0.000           23.155          -15.973            3.967            2.749            0.560           38.421            9.661           68.380           10.273            0.000            0.000
